,Identifier.label,Identifier.RegionClass,Size.Area,Size.ConvexHullArea,Shape.Eccentricity,Shape.EquivalentDiameter,Shape.EulerNumber,Shape.Extent,Shape.MaxFeretDiameter,Size.FilledArea,Size.MajorAxisLength,Size.MinorAxisLength,Size.Perimeter,Shape.Solidity,Shape.FractalDimension,Shape.MinorMajorAxisRatio,Shape.Circularity,NuclearComposition.NormalizedPixelCount.CancerEpithelium,NuclearComposition.NormalizedPixelCount.NormalEpithelium,NuclearComposition.NormalizedPixelCount.StromalCellNOS,NuclearComposition.NormalizedPixelCount.TILsCell,NuclearComposition.NormalizedPixelCount.ActiveTILsCell,NuclearComposition.NormalizedPixelCount.UnknownOrAmbiguousCell,NuclearComposition.NormalizedPixelCount.BACKGROUND,Neighborhood.PixelCount.Surround-ALL.Distance-64,Neighborhood.Regions.NormalizedPixelCount.Surround-TUMOR.Distance-64,Neighborhood.Regions.NormalizedPixelCount.Surround-STROMA.Distance-64,Neighborhood.Regions.NormalizedPixelCount.Surround-TILS.Distance-64,Neighborhood.Regions.NormalizedPixelCount.Surround-JUNK.Distance-64,Neighborhood.Regions.NormalizedPixelCount.Surround-WHITE.Distance-64,Neighborhood.Nuclei.NormalizedPixelCount.Surround-CancerEpithelium.Distance-64,Neighborhood.Nuclei.NormalizedPixelCount.Surround-NormalEpithelium.Distance-64,Neighborhood.Nuclei.NormalizedPixelCount.Surround-StromalCellNOS.Distance-64,Neighborhood.Nuclei.NormalizedPixelCount.Surround-TILsCell.Distance-64,Neighborhood.Nuclei.NormalizedPixelCount.Surround-ActiveTILsCell.Distance-64,Neighborhood.Nuclei.NormalizedPixelCount.Surround-UnknownOrAmbiguousCell.Distance-64,Neighborhood.Nuclei.NormalizedPixelCount.Surround-BACKGROUND.Distance-64,Neighborhood.PixelCount.Surround-ALL.Distance-128,Neighborhood.Regions.NormalizedPixelCount.Surround-TUMOR.Distance-128,Neighborhood.Regions.NormalizedPixelCount.Surround-STROMA.Distance-128,Neighborhood.Regions.NormalizedPixelCount.Surround-TILS.Distance-128,Neighborhood.Regions.NormalizedPixelCount.Surround-JUNK.Distance-128,Neighborhood.Regions.NormalizedPixelCount.Surround-WHITE.Distance-128,Neighborhood.Nuclei.NormalizedPixelCount.Surround-CancerEpithelium.Distance-128,Neighborhood.Nuclei.NormalizedPixelCount.Surround-NormalEpithelium.Distance-128,Neighborhood.Nuclei.NormalizedPixelCount.Surround-StromalCellNOS.Distance-128,Neighborhood.Nuclei.NormalizedPixelCount.Surround-TILsCell.Distance-128,Neighborhood.Nuclei.NormalizedPixelCount.Surround-ActiveTILsCell.Distance-128,Neighborhood.Nuclei.NormalizedPixelCount.Surround-UnknownOrAmbiguousCell.Distance-128,Neighborhood.Nuclei.NormalizedPixelCount.Surround-BACKGROUND.Distance-128
TUMOR.11,11,TUMOR,13027,20577,0.9195593161415573,128.78855364225876,0,0.4805592445034676,253.2923212416831,14126,259.0639855376855,101.7995100973539,1376.7321061434639,0.633085483792584,1.2896511097608023,0.39295122355996237,0.08636850378956497,0.1267399830808275,0.017842036453126202,0.02130277628239637,0.0003076213181573483,0.0,0.0,0.8338075828654926,57159.0,0.1490229010304589,0.4394583530152732,0.0030441400304414,0.0064731713290995295,0.2695288580975874,0.028289508213929566,0.003971378085690792,0.03493763011949124,0.0020644168022533635,0.0,0.00041988138350915866,0.801238650081352,134622.0,0.10849638246349036,0.34394081205152205,0.0027930056008676147,0.008356732183446985,0.240540179168338,0.02114067537252455,0.0038180980820371113,0.022618888443196507,0.0018793362154774108,0.0,0.00020798977878801384,0.6601298450476148
TUMOR.17,17,TUMOR,11902,21520,0.9114538911310939,123.10197830026091,0,0.3584939759036145,230.15212360523637,11902,252.21214672007852,103.76064250359715,1350.447834896002,0.5530669144981413,1.2701597363990405,0.4114022415373891,0.08201139214451794,0.12454797746194601,0.006895971743335296,0.026322428727609117,0.0,0.0,0.0,0.8422336220671096,56501.0,0.23670377515442204,0.4729296826604839,0.006955629103909665,0.00435390524061521,0.24992478009238775,0.046654041521389,0.008495424859736997,0.04091962974106653,0.0036813507725526984,0.0,0.00028318082865789985,0.8729226031397674,132431.0,0.20586569609834554,0.3677311203570161,0.010073170179187652,0.004598621168759581,0.19126186466914846,0.040511662677167735,0.006063534972929299,0.030732985479230694,0.0024314548708383988,0.0,0.00031714628750066073,0.7012406460722943
TUMOR.49,49,TUMOR,127446,198542,0.9753598823624584,402.8266215362604,-5,0.32933399830999455,989.8131136734853,131287,1043.9424199595599,230.3143767181008,5722.288814267067,0.6419095204037433,1.2857263337497948,0.2206198084440545,0.04890987197676813,0.16254103381657686,0.001963340506070649,0.017984199035607145,0.0003926681012141298,0.0,0.0006675357720640206,0.8164512227684672,175066.0,0.0443261398558258,0.6233134931968515,0.004072749705825231,0.011264323169547485,0.24173740189414278,0.011378565798041881,0.0007197285595146973,0.03872253892817566,0.002507625695452001,0.0,0.0006397587195686198,0.8769892497686587,356565.0,0.06920196878549494,0.5018411790276668,0.002476406826244864,0.008057436932957525,0.27289274045405465,0.016252296215276317,0.001710768022660665,0.03066762020949897,0.0018285586078274649,0.0,0.00043189881227826625,0.8078891646684335
TUMOR.57,57,TUMOR,4488,5387,0.948393284022066,75.59298298632889,1,0.4794871794871795,138.5712812959453,4488,142.53664200060956,45.197867717644776,409.1787155501902,0.8331167625765732,1.1588506439457973,0.3170964818818412,0.33685007069368716,0.16159304188601512,0.0073243305104142824,0.0073243305104142824,0.0,0.0,0.0,0.8237582970931563,33260.0,0.12200841852074563,0.34320505111244737,0.0006013229104028864,0.002946482260974143,0.19639206253758268,0.031779915814792545,0.0039085989176187615,0.01942273000601323,0.0,0.0,0.0004810583283223091,0.6096812988574865,91835.0,0.14578319812707574,0.30760603255839275,0.0017967006043447488,0.005117874448739588,0.14657810203081614,0.03993030979474057,0.002079817063211194,0.01853323896118038,0.0005335656340175315,0.0,0.0002177818914357271,0.5467632166385366
TUMOR.89,89,TUMOR,148152,225873,0.5437828078825949,434.3189899504785,-9,0.4862943329339745,636.1705746103006,155965,571.9994489045436,480.03680227320865,10129.01814128645,0.6559084087075481,1.4165544731283457,0.8392259873546105,0.018146074299431537,0.19311178166157003,0.0006412982576938915,0.018847418268224683,0.00025651930307755657,0.0,0.0009653226405286998,0.7861776598689051,190778.0,0.191521034920169,0.5908385662917108,0.0018817683380683307,0.0037006363417165502,0.1790353185377769,0.056332491167744705,0.0018922517271383493,0.04775707890846953,0.0014833995534076255,0.0,0.0008543962092065122,0.8723857048506641,348564.0,0.21673494681034186,0.517698327997154,0.0014688837630965905,0.004498456524483309,0.18340103969428856,0.060192676237362436,0.004673460254070988,0.03929837849003339,0.0011619100079182016,0.0,0.0006655879551531426,0.8284590491272765
TUMOR.90,90,TUMOR,8347,11312,0.6322179798203048,103.09088456262465,-1,0.4471766848816029,156.31058825300352,8347,134.8505930581602,104.48096774123493,732.8010819142763,0.7378889674681753,1.2363978273777523,0.7747905691165404,0.19532960589181053,0.177063339731286,0.0019193857965451055,0.0067178502879078695,0.0,0.0,0.0,0.814299424184261,41606.0,0.21542565976061145,0.4894005672258809,0.0002884199394318127,0.00951785800124982,0.2064125366533673,0.05857328269961063,0.002355429505359804,0.027447964235927512,0.0007450848435321828,0.0,0.0005768398788636254,0.8323318752103062,107346.0,0.17454772418161832,0.4409572783336128,0.02589756488364727,0.00819779032288115,0.15449108490302388,0.04800365174296201,0.0023661803886497867,0.028273060943118513,0.007340748607307213,5.589402492873512e-05,0.0004285208577869692,0.7237810444730125
TUMOR.107,107,TUMOR,13383,17547,0.8390448850248929,130.53645018610965,1,0.5451545887816205,192.96113598338914,13383,193.5611867294011,105.30932569937409,996.8254685319159,0.7626944776884937,1.2386938136635683,0.5440622031657448,0.16924860233184782,0.176219694702185,0.0,0.013843160730320263,0.000299311583358276,0.0,0.0019455252918287938,0.8076923076923077,48001.0,0.15068436074248454,0.48692735568009,0.006958188371075602,0.005604049915626757,0.29191058519614177,0.044561571633924296,0.0,0.037103393679298345,0.0022291202266619447,0.0,0.0008749817712130997,0.8619820420407908,119086.0,0.18327931075021414,0.4060762810070033,0.00802781183346489,0.00695295836622273,0.21281258922123508,0.05632903951765951,0.00013435668340527014,0.030994407403053256,0.0029222578640646256,0.0,0.0007473590514418152,0.7371731353811531
TUMOR.166,166,TUMOR,101457,175764,0.8911958813361419,359.41489185924866,-9,0.3652054656453378,717.3506813267832,104492,694.2115916589137,314.9073414449896,7589.6504294495535,0.5772342459206663,1.3768851214538862,0.4536186736560756,0.02213341025370292,0.15949214860961883,0.023973109111161493,0.01629422259899258,0.00015771782309974665,0.0,0.00023657673464962,0.7998462251224777,173771.0,0.17392430267420916,0.7386330285260486,0.0005409418142267697,0.006330170166483475,0.07338393632999753,0.048725046181468716,0.004672816522895074,0.05176352786138078,0.0008977332236103837,0.0,0.00044886661180519187,0.8934920095988399,330588.0,0.18767771364961824,0.6737842873909519,0.005807833315183854,0.005523491475794644,0.1136369136205791,0.05422459375415926,0.0028040945224872046,0.04923046208573814,0.0023533824579234576,0.0,0.0006806054666231079,0.8907068617130688
TUMOR.191,191,TUMOR,7795,10385,0.9353843808547662,99.62380363753732,1,0.5567857142857143,176.52761823578768,7795,183.54681618137923,64.90814931677504,682.6589462905454,0.750601829561868,1.1964875100363204,0.35363266259346837,0.21019307873982815,0.1697288963124759,0.0017987922394963381,0.010150327637157909,0.0,0.0,0.0,0.8183219838108698,41777.0,0.20956507169016445,0.5750293223544055,0.021902003494745914,0.011776814993896163,0.17428249994015846,0.057950546951671976,0.0018670560356176843,0.03664695885295737,0.006750125667233166,0.0001436196950475142,0.00016755631088876655,0.8964741364865835,108094.0,0.24773807981941642,0.5109811830443873,0.03287879068218402,0.01166577238329602,0.1855792180879605,0.06758932040631302,0.0019520047366181287,0.0360704571946639,0.009297463318963124,9.251207282550372e-05,0.0008603622772771847,0.8841378799933391
TUMOR.240,240,TUMOR,12408,15594,0.7881545817896668,125.69151232710146,0,0.5327608415629025,172.18594600024707,12408,172.8275392188224,106.37143399787284,910.1686142824235,0.7956906502500962,1.2137919036623952,0.6154773393098689,0.18822093994350986,0.20805423291098377,0.0021790008877411024,0.02509886207731418,0.00048422241949802277,0.0003228149463320152,0.0026632233072391254,0.7611976434508918,45721.0,0.06961789987095646,0.5271100807068961,0.06040987729927167,0.013451149362437392,0.31609107412348814,0.016491327836224055,0.002515255571837886,0.058682006080356945,0.019968942061634697,0.00013123072548719406,0.002296537696025896,0.8999147000284333,114805.0,0.08241801315273725,0.4994468882017334,0.046905622577413875,0.018805801141065285,0.3384086058969557,0.02073951482949349,0.0018727407342885762,0.04784634815556814,0.01623622664518096,5.22625321196812e-05,0.002595705761944166,0.910657201341405
