,Identifier.label,Identifier.RegionClass,Size.Area,Size.ConvexHullArea,Shape.Eccentricity,Shape.EquivalentDiameter,Shape.EulerNumber,Shape.Extent,Shape.MaxFeretDiameter,Size.FilledArea,Size.MajorAxisLength,Size.MinorAxisLength,Size.Perimeter,Shape.Solidity,Shape.FractalDimension,Shape.MinorMajorAxisRatio,Shape.Circularity,NuclearComposition.NormalizedPixelCount.CancerEpithelium,NuclearComposition.NormalizedPixelCount.NormalEpithelium,NuclearComposition.NormalizedPixelCount.StromalCellNOS,NuclearComposition.NormalizedPixelCount.TILsCell,NuclearComposition.NormalizedPixelCount.ActiveTILsCell,NuclearComposition.NormalizedPixelCount.UnknownOrAmbiguousCell,NuclearComposition.NormalizedPixelCount.BACKGROUND,Neighborhood.PixelCount.Surround-ALL.Distance-64,Neighborhood.Regions.NormalizedPixelCount.Surround-TUMOR.Distance-64,Neighborhood.Regions.NormalizedPixelCount.Surround-STROMA.Distance-64,Neighborhood.Regions.NormalizedPixelCount.Surround-TILS.Distance-64,Neighborhood.Regions.NormalizedPixelCount.Surround-JUNK.Distance-64,Neighborhood.Regions.NormalizedPixelCount.Surround-WHITE.Distance-64,Neighborhood.Nuclei.NormalizedPixelCount.Surround-CancerEpithelium.Distance-64,Neighborhood.Nuclei.NormalizedPixelCount.Surround-NormalEpithelium.Distance-64,Neighborhood.Nuclei.NormalizedPixelCount.Surround-StromalCellNOS.Distance-64,Neighborhood.Nuclei.NormalizedPixelCount.Surround-TILsCell.Distance-64,Neighborhood.Nuclei.NormalizedPixelCount.Surround-ActiveTILsCell.Distance-64,Neighborhood.Nuclei.NormalizedPixelCount.Surround-UnknownOrAmbiguousCell.Distance-64,Neighborhood.Nuclei.NormalizedPixelCount.Surround-BACKGROUND.Distance-64,Neighborhood.PixelCount.Surround-ALL.Distance-128,Neighborhood.Regions.NormalizedPixelCount.Surround-TUMOR.Distance-128,Neighborhood.Regions.NormalizedPixelCount.Surround-STROMA.Distance-128,Neighborhood.Regions.NormalizedPixelCount.Surround-TILS.Distance-128,Neighborhood.Regions.NormalizedPixelCount.Surround-JUNK.Distance-128,Neighborhood.Regions.NormalizedPixelCount.Surround-WHITE.Distance-128,Neighborhood.Nuclei.NormalizedPixelCount.Surround-CancerEpithelium.Distance-128,Neighborhood.Nuclei.NormalizedPixelCount.Surround-NormalEpithelium.Distance-128,Neighborhood.Nuclei.NormalizedPixelCount.Surround-StromalCellNOS.Distance-128,Neighborhood.Nuclei.NormalizedPixelCount.Surround-TILsCell.Distance-128,Neighborhood.Nuclei.NormalizedPixelCount.Surround-ActiveTILsCell.Distance-128,Neighborhood.Nuclei.NormalizedPixelCount.Surround-UnknownOrAmbiguousCell.Distance-128,Neighborhood.Nuclei.NormalizedPixelCount.Surround-BACKGROUND.Distance-128
TUMOR.131,131,TUMOR,8473,19988,0.7193203547369188,103.86606116793413,-5,0.2778761642398006,205.7668583615933,9525,188.73352078143574,131.10912032501454,1442.5899705197328,0.4239043426055633,1.3322986021126615,0.6946785064050516,0.05116361867868114,0.11428909112398061,0.0,0.0173738328802742,0.009455147145727455,0.0,0.0063822243233660324,0.8524997045266517,55732.0,0.04584439819134429,0.3170889255723821,0.009940429196870739,0.026250628005454676,0.5018840163640278,0.01622048374363023,7.177205196296562e-05,0.0176379817698988,0.001632814182157468,0.0,0.005723821144046509,0.9104284791502189,132018.0,0.033503007165689526,0.24417882409974398,0.006317320365404717,0.016406853610871245,0.4065278977109182,0.013536032965201715,0.0003181384356678635,0.013528458240542955,0.001378599887894075,0.0,0.003522246966322774,0.7075020073020346
TUMOR.163,163,TUMOR,6102,10233,0.9349831506375997,88.14367647184886,1,0.384620233217775,179.38784797192923,6102,195.49976114212706,69.34222695300645,831.4284989122459,0.5963060686015831,1.2788476911851934,0.35469213132488225,0.11092571935768328,0.09787444389520514,0.0,0.005272697314219805,0.0,0.0,0.04811336299225573,0.8487394957983193,43419.0,0.008797991662636173,0.16257859462447316,0.0007600359289711877,0.036827195467422094,0.3631589856975057,0.0017964485593864438,0.0,0.0063106013496395585,0.00011515695893502845,0.0,0.00384624242842995,0.603284276468827,109573.0,0.005822602283409234,0.15010084601133492,0.00030116908362461554,0.021793690051381272,0.2862840298248656,0.0010860339682220986,0.0,0.004125103812070492,4.563167933706296e-05,0.0,0.002308962974455386,0.4837779379956741
TUMOR.250,250,TUMOR,7688,13571,0.9464812327866245,98.9376855395553,1,0.307323313079629,228.40534144367115,7688,227.77729122704338,73.5171368299277,1261.7371567773473,0.5665021000663178,1.3159492517696387,0.32275885112992864,0.060685572474592414,0.10636339731790692,0.0,0.010255061793321063,0.01051801209571391,0.0,0.005127530896660531,0.8674730475940048,49768.0,0.008077479504902748,0.21308873171515832,0.003817714193859508,0.014306381610673526,0.4983121684616621,0.003837807426458769,0.0,0.008740556180678347,0.0010649413277608103,0.0,0.0028532390290950007,0.7664764507313937,121352.0,0.012072318544399763,0.24878864790032304,0.002257894389874085,0.01526138835783506,0.437487639264289,0.004276814556002373,0.0,0.013283670644076736,0.0005850748236535039,0.0,0.002167248994660162,0.7183729975608149
TUMOR.314,314,TUMOR,7272,11143,0.9662897126194708,96.22368715297759,0,0.3786316776007498,210.8885961829136,7272,234.33036061381694,60.33003007857008,671.58787847868,0.6526070178587454,1.1444189369954756,0.25745716398224505,0.2026086749820505,0.012680909717436252,0.22729152308752584,0.015299793246037216,0.005651274982770503,0.0,0.0,0.7390764989662302,45299.0,0.0033334069184750214,0.7205457074107596,0.009801540872866952,0.01558533300955871,0.2507340117883397,0.0003973597651162277,0.0007726439877259984,0.028631978630874855,0.010309278350515464,0.0,0.0011037771253228548,0.9587849621404446,115278.0,0.027524766217318135,0.7305036520411526,0.007278058259164802,0.02193827096236923,0.21239959055500615,0.000624577109248946,0.008613959298391713,0.02048959905619459,0.005629868665313416,0.0,0.0010583112128940474,0.9635836846579573
TUMOR.887,887,TUMOR,22312,96265,0.7770013884839619,168.54827415945542,-1,0.15508337329969207,457.39807607815754,22312,545.7326348858119,343.5380834685698,3223.2652942012046,0.23177686594296992,1.2663499522253312,0.6294988818846268,0.026987102664152583,0.1527865027371444,0.07116575428520147,0.014583146369918334,0.0004487121959974872,0.0,0.0003589697567979898,0.7606569146549403,147942.0,0.0037920266050208867,0.40584147841721757,0.00010815049140879534,0.04132024712387287,0.5469237944599911,0.00012166930283489475,8.787227426964621e-05,0.018453177596625705,0.0006218653256005732,0.0,0.0007300158170093686,0.9799853996836598,272485.0,0.00326623483861497,0.48187239664568693,5.871882855937024e-05,0.029440152668954254,0.4825843624419693,0.00010275794997889792,5.871882855937024e-05,0.017072499403636896,0.0004550709213351194,0.0,0.0004550709213351194,0.9818558819751546
TUMOR.904,904,TUMOR,18802,29031,0.7761113294242558,154.72378588992234,-1,0.4124150032901952,244.90202122481554,18802,228.94151218595528,144.36958169120336,1900.638743755012,0.6476525093865179,1.3340849707197626,0.6305959120857939,0.06540557326331307,0.1116336236840699,0.0022444290065729705,0.006145460375140277,0.00016031635761235504,0.0,0.12846684123336718,0.7513493293432373,61954.0,0.06929334667656649,0.04726087096878329,0.02936049326919973,0.025115408206088388,0.6177163702101559,0.017432288472092196,0.0,0.008587016173289861,0.004519482196468348,0.0,0.055767182102850504,0.7599025083126191,142828.0,0.051523510796202425,0.09697678326378581,0.026157336096563698,0.021501386282801693,0.528859887417033,0.010775198140420645,9.801999607920016e-05,0.010859215279917104,0.004459909821603607,0.0,0.045215223905676755,0.7030134147366063
TUMOR.911,911,TUMOR,4185,8425,0.9667408214498018,72.99662659819737,1,0.25544772019776596,172.15400082484288,4185,190.4632372072685,48.71250763524778,777.6883835420683,0.4967359050445104,1.2589913260672205,0.2557580578252862,0.08695490853345132,0.09338235294117647,0.0,0.023529411764705882,0.007598039215686274,0.0,0.18823529411764706,0.6872549019607843,40831.0,0.0164580833190468,0.19274570791800347,0.02498101932355318,0.019690921113859568,0.4691043569836644,0.003600205726041488,0.0,0.024711616173985453,0.004873747887634395,0.0,0.027528103646738997,0.6968234919546423,105040.0,0.014813404417364813,0.2430978674790556,0.016184310738766184,0.014765803503427266,0.365993907083016,0.0031511805026656512,0.0,0.015441736481340443,0.003750952018278751,0.0,0.0228008377760853,0.6387090632140137
TUMOR.972,972,TUMOR,4882,9081,0.969772512757133,78.84133089564803,0,0.21849266022198352,208.00240383226344,7288,231.21211711036742,56.418255079573164,894.7077195258246,0.5376059905296774,1.2185958704878574,0.2440108061146394,0.07663819546253824,0.0807478939798644,0.10067803575097596,0.03472364906513253,0.0,0.0,0.001027326895418122,0.782823094308609,45058.0,0.014359270273869235,0.6925962093301966,0.0,0.01029783834169293,0.2827466820542412,0.0007101957477029606,0.0010431000044387234,0.05259887256425052,0.0,0.0,0.0005770340450086555,0.9450707976385991,112503.0,0.014550723091828663,0.8068940383811988,0.0,0.006177613041430006,0.1723776254855426,0.0006666488893629503,0.0007733127116610224,0.03518128405464743,0.0,0.0,0.00023110494831248945,0.9631476493960162
TUMOR.982,982,TUMOR,25770,62934,0.8951222499454149,181.13912627542717,-3,0.2470094317920405,420.5615293866047,26403,420.6503441729132,187.53465972156695,3730.0876246715407,0.4094765945276003,1.4348921686039298,0.4458207685299757,0.023274813753561007,0.0731868302531449,0.0006988662835844075,0.009434694828389502,0.0036884609411399288,0.0,0.11205156080136668,0.8009395868923745,102647.0,0.03845217103276277,0.16597659941352402,0.012713474334369246,0.012187399534326382,0.6197063723245687,0.008076222393250655,7.793700741375784e-05,0.00898224010443559,0.002338110222412735,0.0,0.03521778522509182,0.8849649770572935,214000.0,0.03771028037383178,0.14627570093457945,0.01169626168224299,0.013224299065420561,0.482607476635514,0.008149532710280374,4.672897196261682e-05,0.006200934579439253,0.0015700934579439252,0.0,0.03188317757009346,0.7130420560747663
TUMOR.1036,1036,TUMOR,10632,22659,0.7729043483063709,116.34897008407187,0,0.33034022059965823,211.30073355291506,10632,214.1925558437555,135.9100070474732,1602.3422791987307,0.4692175294584933,1.3101449576457753,0.6345225515055427,0.05203723925921179,0.13162636320531057,0.020957799905168325,0.015742057847321005,0.005879563774300617,0.0,0.0053105737316263635,0.8204836415362731,58621.0,0.0057146756281878505,0.21980177752000135,0.024598693301035465,0.009638184268436226,0.5088961293734328,0.002183517851964313,0.0005799969294280207,0.011855819586837481,0.0016205796557547637,0.002371163917367496,0.0023029289844936113,0.781153511540233,134548.0,0.005158010524125219,0.17891756101911585,0.01215179712816244,0.008220114754585724,0.3458468353301424,0.00130808336058507,0.0004459375092903648,0.008272140797336267,0.001018223979546333,0.0010330885631893451,0.00130808336058507,0.5553036834438267
